"Freq [GHz]","dB(S(FloquetPort1:1,FloquetPort1:1)) []","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
54.8,-0.00527047859700992,-inf
54.9,-0.00541186927502198,-inf
55,-0.00557136291995621,-inf
55.1,-0.00575307245148986,-inf
55.2,-0.00596238016209489,-inf
55.3,-0.00620647144996965,-inf
55.4,-0.00649515762982415,-inf
55.5,-0.00684218287242062,-inf
55.6,-0.00726737279583234,-inf
55.7,-0.00780031116944964,-inf
55.8,-0.00848693628057389,-inf
55.9,-0.00940206568739419,-inf
56,-0.010674881821114,-inf
56.1,-0.01254547881055,-inf
56.2,-0.0155051437614543,-inf
56.3,-0.0207007842000031,-inf
56.4,-0.0313810547358868,-inf
56.5,-0.060178916638261,-inf
56.6,-0.200955639535164,-inf
56.7,-5.81792539519056,-inf
56.8,-0.187078719787098,-inf
56.9,-0.0466284465318926,-inf
57,-0.0216768393011251,-inf
57.1,-0.0134171916414585,-inf
57.2,-0.00982281745239247,-inf
57.3,-0.00799910796218654,-inf
57.4,-0.00697883799889204,-inf
57.5,-0.00636748008966342,-inf
57.6,-0.00598053853713048,-inf
57.7,-0.00572252150057386,-inf
57.8,-0.00553988317792392,-inf
57.9,-0.00540054645253468,-inf
58,-0.00528419491132494,-inf
58.1,-0.00517735976202546,-inf
58.2,-0.00507081382419409,-inf
58.3,-0.00495815307522125,-inf
58.4,-0.00483502961530851,-inf
58.5,-0.00469876654605769,-inf
58.6,-0.00454821470719928,-inf
58.7,-0.00438377764573712,-inf
58.8,-0.00420756721668219,-inf
58.9,-0.00402367298716437,-inf
59,-0.00383854155278619,-inf
59.1,-0.00366147074507147,-inf
59.2,-0.00350523056641313,-inf
59.3,-0.00338682867853314,-inf
59.4,-0.00332844409571209,-inf
59.5,-0.00335855886149906,-inf
59.6,-0.00351332424724144,-inf
59.7,-0.00383820566985793,-inf
59.8,-0.00438995929773951,-inf
59.9,-0.00523900336405408,-inf
60,-0.00647225865852598,-inf
60.1,-0.00629541826725913,-inf
60.2,-0.0064499473435031,-inf
60.3,-0.00738798882042795,-inf
60.4,-0.0115091499655124,-inf
60.5,-0.0601621127419505,-inf
60.6,-0.0928688976308825,-inf
60.7,-0.0142043336574548,-inf
60.8,-0.00860028574057009,-inf
60.9,-0.0072158098764753,-inf
61,-0.00684464071042736,-inf
61.1,-0.00694062795361364,-inf
61.2,-0.00750778243734567,-inf
61.3,-0.00943007385101678,-inf
61.4,-0.0384645471338794,-inf
61.5,-0.00760240542382275,-inf
61.6,-0.00575353260127531,-inf
61.7,-0.00601576154659711,-inf
61.8,-0.00633659339095928,-inf
61.9,-0.00664028316303646,-inf
62,-0.00692598209857719,-inf
62.1,-0.00719758297277816,-inf
62.2,-0.00745827088117842,-inf
62.3,-0.00771053861570243,-inf
62.4,-0.00795661850625346,-inf
62.5,-0.00819881859508085,-inf
62.6,-0.00843976285476291,-inf
62.7,-0.00868258251729351,-inf
62.8,-0.00893109925308742,-inf
62.9,-0.00919003566469689,-inf
63,-0.00946529123451586,-inf
63.1,-0.00976433443379905,-inf
63.2,-0.0100967884904904,-inf
63.3,-0.0104753395337225,-inf
63.4,-0.0109171936128365,-inf
63.5,-0.0114465020564174,-inf
63.6,-0.0120985747248848,-inf
63.7,-0.0129275828403302,-inf
63.8,-0.0140215485782427,-inf
63.9,-0.0155338712595141,-inf
64,-0.0177565379530358,-inf
64.1,-0.0213138435891915,-inf
64.2,-0.0277763289267314,-inf
64.3,-0.0422030966901511,-inf
64.4,-0.0894863388906851,-inf
64.5,-0.402766511836413,-inf
64.6,-0.152822050677761,-inf
64.7,-0.0322137114740145,-inf
64.8,-0.0154374847413427,-inf
64.9,-0.011512166020477,-inf
65,-0.010800124280036,-inf
65.1,-0.0114440721784251,-inf
65.2,-0.0132086800840074,-inf
65.3,-0.0168584100102202,-inf
65.4,-0.0259698782622777,-inf
65.5,-0.0659743268454128,-inf
65.6,-0.280934499798431,-inf
65.7,-0.0243936725647244,-inf
65.8,-0.00896380358115233,-inf
65.9,-0.00679988378422301,-inf
66,-0.00653476959198846,-inf
66.1,-0.00671061485897894,-inf
66.2,-0.00700544515170395,-inf
66.3,-0.00732689639455926,-inf
66.4,-0.00764527924011893,-inf
66.5,-0.00795167780727272,-inf
66.6,-0.00824526864551235,-inf
66.7,-0.00852904408757576,-inf
66.8,-0.00880833347637849,-inf
66.9,-0.00909036644913526,-inf
67,-0.0093842646614714,-inf
67.1,-0.00970122993500208,-inf
67.2,-0.010054836643604,-inf
67.3,-0.0104613913390731,-inf
67.4,-0.0109403457664801,-inf
67.5,-0.0115147596571472,-inf
67.6,-0.0137251677397016,-inf
67.7,-0.0156258290700328,-inf
67.8,-0.0172444697692913,-inf
67.9,-0.0186101393438118,-inf
68,-0.0197531962388736,-inf
68.1,-0.0207053404469702,-inf
68.2,-0.0214997108470164,-inf
68.3,-0.022171070620612,-inf
68.4,-0.022756112281426,-inf
68.5,-0.0232939258844446,-inf
68.6,-0.0238266918978695,-inf
68.7,-0.0244006873192258,-inf
68.8,-0.0250677352170134,-inf
68.9,-0.0258872928155081,-inf
69,-0.0269294763469374,-inf
69.1,-0.0282794876210209,-inf
69.2,-0.0300441819442481,-inf
69.3,-0.0323619779588453,-inf
69.4,-0.0354180965440698,-inf
69.5,-0.0394684744841638,-inf
69.6,-0.0448780476423026,-inf
69.7,-0.0521830572645301,-inf
69.8,-0.0621930648784091,-inf
69.9,-0.0761542919462961,-inf
70,-0.0959843477055755,-inf
70.1,-0.124470393283999,-inf
70.2,-0.164725808102675,-inf
70.3,-0.216100221616509,-inf
70.4,-0.261572006110117,-inf
70.5,-0.262273319025541,-inf
70.6,-0.207955160103874,-inf
70.7,-0.140996912647895,-inf
70.8,-0.0909559482155266,-inf
70.9,-0.0595868416556064,-inf
71,-0.0409705035514721,-inf
71.1,-0.0300867945693286,-inf
71.2,-0.0237258941702472,-inf
71.3,-0.0199743705599114,-inf
71.4,-0.0177996461238058,-inf
71.5,-0.016823577129055,-inf
71.6,-0.0172621624207632,-inf
71.7,-0.0203176519422458,-inf
71.8,-0.0307477882829043,-inf
71.9,-0.0789841487849548,-inf
72,-0.5735394843013,-inf
72.1,-0.0908541067348766,-inf
72.2,-0.0265431274463912,-inf
72.3,-0.0147839300540396,-inf
72.4,-0.0111058241083774,-inf
72.5,-0.00976939567483586,-inf
72.6,-0.0093811238819457,-inf
72.7,-0.00947295452680719,-inf
72.8,-0.00985485852545863,-inf
72.9,-0.0104417329071552,-inf
73,-0.0111959728956789,-inf
73.1,-0.0121055756552505,-inf
73.2,-0.0131752164244009,-inf
73.3,-0.0144228635860096,-inf
73.4,-0.015879244719539,-inf
73.5,-0.017589218618577,-inf
73.6,-0.0196148885883909,-inf
73.7,-0.0220407764869528,-inf
73.8,-0.0249818407099736,-inf
73.9,-0.0285957433929825,-inf
74,-0.0331017557236833,-inf
74.1,-0.0388103578145725,-inf
74.2,-0.046170514704331,-inf
74.3,-0.055846838894952,-inf
74.4,-0.0688482419390708,-inf
